<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
27/05/21;00:00;1630.2000000;1709.0000000;1615.2000000;1680.0000000;1786185
28/05/21;00:00;1676.8000000;1697.8000000;1642.0000000;1669.6000000;709406
31/05/21;00:00;1674.6000000;1701.4000000;1665.6000000;1673.6000000;368876
01/06/21;00:00;1680.0000000;1717.0000000;1676.0000000;1693.4000000;515323
02/06/21;00:00;1694.0000000;1705.8000000;1672.2000000;1678.6000000;329439
03/06/21;00:00;1687.2000000;1689.0000000;1660.0000000;1673.6000000;309199
04/06/21;00:00;1673.8000000;1681.4000000;1639.2000000;1669.8000000;290302
07/06/21;00:00;1674.6000000;1674.6000000;1652.2000000;1663.0000000;214502
08/06/21;00:00;1662.0000000;1683.6000000;1660.0000000;1662.6000000;293967
09/06/21;00:00;1666.8000000;1680.0000000;1658.0000000;1670.0000000;270701
10/06/21;00:00;1670.6000000;1673.4000000;1654.0000000;1664.0000000;327171
11/06/21;00:00;1665.6000000;1668.2000000;1628.0000000;1637.8000000;320821
14/06/21;00:00;1640.8000000;1644.6000000;1625.4000000;1636.6000000;142312
15/06/21;00:00;1636.6000000;1637.4000000;1616.6000000;1618.0000000;246525
16/06/21;00:00;1615.2000000;1624.4000000;1597.0000000;1600.6000000;580801
17/06/21;00:00;1603.0000000;1642.8000000;1587.8000000;1631.4000000;401455
18/06/21;00:00;1638.0000000;1646.8000000;1611.8000000;1624.2000000;373970
21/06/21;00:00;1630.8000000;1643.2000000;1608.2000000;1614.0000000;274223
22/06/21;00:00;1621.0000000;1621.2000000;1592.0000000;1601.0000000;389909
23/06/21;00:00;1602.2000000;1609.0000000;1581.8000000;1602.2000000;349094
24/06/21;00:00;1604.4000000;1604.4000000;1581.4000000;1590.0000000;244223
25/06/21;00:00;1593.8000000;1620.0000000;1588.8000000;1610.8000000;241976
28/06/21;00:00;1610.8000000;1630.0000000;1602.0000000;1627.2000000;309855
29/06/21;00:00;1628.0000000;1645.0000000;1591.4000000;1622.0000000;427988
30/06/21;00:00;1616.0000000;1664.0000000;1605.4000000;1655.6000000;397655
01/07/21;00:00;1657.2000000;1677.6000000;1643.4000000;1669.4000000;361049
02/07/21;00:00;1670.0000000;1679.0000000;1650.0000000;1661.2000000;199716
05/07/21;00:00;1667.8000000;1668.8000000;1637.2000000;1658.0000000;193552
06/07/21;00:00;1658.0000000;1665.2000000;1643.4000000;1649.0000000;350720
07/07/21;00:00;1650.4000000;1669.2000000;1646.8000000;1649.0000000;259954
08/07/21;00:00;1649.0000000;1650.4000000;1623.6000000;1629.8000000;300085
09/07/21;00:00;1626.6000000;1641.0000000;1605.0000000;1616.0000000;233526
12/07/21;00:00;1614.6000000;1620.6000000;1599.4000000;1619.6000000;181586
13/07/21;00:00;1619.4000000;1650.0000000;1612.2000000;1642.4000000;216623
14/07/21;00:00;1647.8000000;1647.8000000;1606.0000000;1607.0000000;291297
15/07/21;00:00;1606.0000000;1618.8000000;1578.0000000;1585.2000000;437482
16/07/21;00:00;1594.8000000;1604.0000000;1557.6000000;1560.8000000;277366
19/07/21;00:00;1561.4000000;1567.4000000;1513.4000000;1528.6000000;451228
20/07/21;00:00;1534.8000000;1543.0000000;1516.4000000;1534.0000000;205688
21/07/21;00:00;1536.0000000;1564.2000000;1525.8000000;1541.0000000;175222
22/07/21;00:00;1553.0000000;1557.8000000;1533.4000000;1549.0000000;172300
23/07/21;00:00;1549.8000000;1560.0000000;1525.0000000;1539.0000000;148757
26/07/21;00:00;1536.2000000;1547.2000000;1523.0000000;1544.0000000;140897
27/07/21;00:00;1544.0000000;1544.0000000;1508.8000000;1517.4000000;233678
28/07/21;00:00;1523.6000000;1554.6000000;1519.2000000;1548.6000000;192010
29/07/21;00:00;1555.0000000;1558.4000000;1515.4000000;1520.4000000;508863
30/07/21;00:00;1517.6000000;1523.2000000;1500.6000000;1514.8000000;430663
02/08/21;00:00;1519.2000000;1520.6000000;1500.4000000;1506.4000000;250450
03/08/21;00:00;1506.4000000;1508.8000000;1470.0000000;1481.4000000;513667
04/08/21;00:00;1483.2000000;1491.8000000;1478.4000000;1487.8000000;205847
05/08/21;00:00;1490.4000000;1508.0000000;1480.4000000;1507.0000000;239633
06/08/21;00:00;1507.8000000;1526.0000000;1495.6000000;1506.0000000;266920
09/08/21;00:00;1504.2000000;1521.6000000;1495.4000000;1505.6000000;183866
10/08/21;00:00;1510.2000000;1519.2000000;1502.0000000;1515.0000000;252210
11/08/21;00:00;1518.8000000;1549.0000000;1513.4000000;1543.0000000;353070
12/08/21;00:00;1549.4000000;1553.8000000;1525.8000000;1536.6000000;204407
13/08/21;00:00;1536.6000000;1539.0000000;1508.2000000;1513.8000000;217272
16/08/21;00:00;1513.8000000;1514.4000000;1486.0000000;1494.0000000;301687
17/08/21;00:00;1491.2000000;1500.0000000;1478.0000000;1488.8000000;263812
